 lorenz attractor:
 -8.175691605 -8.733030319 26.695446014
 -8.189624786 -8.737861633 26.695972443
 -8.203330994 -8.742715836 26.696899414
 -8.216815948 -8.747583389 26.698219299
 -8.230085373 -8.752455711 26.699924469
 -8.243144989 -8.757324219 26.702009201
 -8.255999565 -8.762179375 26.704465866
 -8.268653870 -8.767013550 26.707286835
 -8.281112671 -8.771818161 26.710466385
 -8.293380737 -8.776585579 26.713996887
 -8.305460930 -8.781307220 26.717872620
 -8.317357063 -8.785975456 26.722085953
 -8.329072952 -8.790582657 26.726629257
 -8.340610504 -8.795121193 26.731494904
 -8.351973534 -8.799583435 26.736677170
 -8.363163948 -8.803962708 26.742166519
 -8.374183655 -8.808251381 26.747957230
 -8.385035515 -8.812442780 26.754041672
 -8.395720482 -8.816530228 26.760412216
 -8.406240463 -8.820507050 26.767063141
 -8.416597366 -8.824366570 26.773984909
 -8.426791191 -8.828103065 26.781169891
 -8.436823845 -8.831709862 26.788610458
 -8.446696281 -8.835181236 26.796298981
 -8.456408501 -8.838511467 26.804227829
 -8.465961456 -8.841694832 26.812387466
 -8.475355148 -8.844726562 26.820772171
 -8.484589577 -8.847600937 26.829372406
 -8.493664742 -8.850312233 26.838180542
 -8.502580643 -8.852856636 26.847188950
 -8.511337280 -8.855229378 26.856388092
 -8.519934654 -8.857425690 26.865770340
 -8.528371811 -8.859440804 26.875326157
 -8.536648750 -8.861270905 26.885047913
 -8.544764519 -8.862912178 26.894927979
 -8.552718163 -8.864361763 26.904956818
 -8.560509682 -8.865614891 26.915126801
 -8.568137169 -8.866668701 26.925428391
 -8.575600624 -8.867519379 26.935852051
 -8.582898140 -8.868165016 26.946390152
 -8.590029716 -8.868601799 26.957033157
 -8.596994400 -8.868827820 26.967773438
 -8.603790283 -8.868841171 26.978601456
 -8.610416412 -8.868638992 26.989507675
 -8.616871834 -8.868219376 27.000484467
 -8.623155594 -8.867580414 27.011522293
 -8.629265785 -8.866721153 27.022611618
 -8.635202408 -8.865639687 27.033744812
 -8.640963554 -8.864335060 27.044910431
 -8.646548271 -8.862806320 27.056102753
 -8.651954651 -8.861052513 27.067310333
 -8.657181740 -8.859073639 27.078525543
 -8.662228584 -8.856869698 27.089738846
 -8.667094231 -8.854439735 27.100940704
 -8.671777725 -8.851783752 27.112123489
 -8.676278114 -8.848902702 27.123277664
 -8.680593491 -8.845797539 27.134395599
 -8.684723854 -8.842468262 27.145465851
 -8.688667297 -8.838915825 27.156482697
 -8.692423820 -8.835141182 27.167434692
 -8.695991516 -8.831146240 27.178316116
 -8.699370384 -8.826931953 27.189115524
 -8.702559471 -8.822500229 27.199827194
 -8.705557823 -8.817852974 27.210441589
 -8.708365440 -8.812992096 27.220949173
 -8.710981369 -8.807920456 27.231342316
 -8.713404655 -8.802639961 27.241613388
 -8.715635300 -8.797153473 27.251754761
 -8.717673302 -8.791463852 27.261758804
 -8.719517708 -8.785574913 27.271615982
 -8.721169472 -8.779488564 27.281320572
 -8.722627640 -8.773209572 27.290863037
 -8.723892212 -8.766740799 27.300237656
 -8.724963188 -8.760085106 27.309436798
 -8.725841522 -8.753248215 27.318452835
 -8.726526260 -8.746232986 27.327278137
 -8.727019310 -8.739044189 27.335906982
 -8.727319717 -8.731685638 27.344331741
 -8.727428436 -8.724162102 27.352546692
 -8.727346420 -8.716478348 27.360544205
 -8.727074623 -8.708639145 27.368320465
 -8.726613998 -8.700649261 27.375867844
 -8.725964546 -8.692514420 27.383180618
 -8.725128174 -8.684239388 27.390253067
 -8.724105835 -8.675828934 27.397079468
 -8.722898483 -8.667288780 27.403654099
 -8.721508026 -8.658625603 27.409973145
 -8.719936371 -8.649844170 27.416030884
 -8.718184471 -8.640950203 27.421823502
 -8.716253281 -8.631949425 27.427345276
 -8.714145660 -8.622848511 27.432592392
 -8.711863518 -8.613652229 27.437561035
 -8.709407806 -8.604368210 27.442245483
 -8.706781387 -8.595001221 27.446643829
 -8.703987122 -8.585558891 27.450752258
 -8.701025963 -8.576046944 27.454568863
 -8.697901726 -8.566471100 27.458089828
 -8.694616318 -8.556838989 27.461311340
 -8.691171646 -8.547156334 27.464231491
 -8.687571526 -8.537429810 27.466848373
 -8.683817863 -8.527666092 27.469160080
 -8.679914474 -8.517870903 27.471164703
 -8.675863266 -8.508051872 27.472860336
 -8.671668053 -8.498215675 27.474245071
 -8.667331696 -8.488368034 27.475317001
 -8.662858009 -8.478516579 27.476076126
 -8.658249855 -8.468667030 27.476522446
 -8.653510094 -8.458826065 27.476655960
 -8.648642540 -8.449001312 27.476474762
 -8.643651962 -8.439198494 27.475978851
 -8.638540268 -8.429424286 27.475170135
 -8.633312225 -8.419685364 27.474046707
 -8.627971649 -8.409988403 27.472610474
 -8.622522354 -8.400339127 27.470863342
 -8.616968155 -8.390744209 27.468805313
 -8.611312866 -8.381210327 27.466436386
 -8.605560303 -8.371744156 27.463760376
 -8.599715233 -8.362351418 27.460777283
 -8.593781471 -8.353038788 27.457490921
