 lorenz attractor:
 -8.724105835 -8.675828934 27.39707947
 -8.722898483 -8.667288780 27.40365410
 -8.721508026 -8.658625603 27.40997314
 -8.719936371 -8.649844170 27.41603088
 -8.718184471 -8.640950203 27.42182350
 -8.716253281 -8.631949425 27.42734528
 -8.714145660 -8.622848511 27.43259239
 -8.711863518 -8.613652229 27.43756104
 -8.709407806 -8.604368210 27.44224548
 -8.706781387 -8.595001221 27.44664383
 -8.703987122 -8.585558891 27.45075226
 -8.701025963 -8.576046944 27.45456886
 -8.697901726 -8.566471100 27.45808983
 -8.694616318 -8.556838989 27.46131134
 -8.691171646 -8.547156334 27.46423149
 -8.687571526 -8.537429810 27.46684837
 -8.683817863 -8.527666092 27.46916008
 -8.679914474 -8.517870903 27.47116470
 -8.675863266 -8.508051872 27.47286034
 -8.671668053 -8.498215675 27.47424507
 -8.667331696 -8.488368034 27.47531700
 -8.662858009 -8.478516579 27.47607613
 -8.658249855 -8.468667030 27.47652245
 -8.653510094 -8.458826065 27.47665596
 -8.648642540 -8.449001312 27.47647476
 -8.643651962 -8.439198494 27.47597885
 -8.638540268 -8.429424286 27.47517014
 -8.633312225 -8.419685364 27.47404671
 -8.627971649 -8.409988403 27.47261047
 -8.622522354 -8.400339127 27.47086334
 -8.616968155 -8.390744209 27.46880531
 -8.611312866 -8.381210327 27.46643639
 -8.605560303 -8.371744156 27.46376038
 -8.599715233 -8.362351418 27.46077728
 -8.593781471 -8.353038788 27.45749092
 -8.587762833 -8.343811989 27.45390129
 -8.581664085 -8.334676743 27.45001221
 -8.575489044 -8.325639725 27.44582558
 -8.569242477 -8.316706657 27.44134521
 -8.562929153 -8.307883263 27.43657303
 -8.556552887 -8.299175262 27.43151283
 -8.550118446 -8.290588379 27.42616653
 -8.543630600 -8.282127380 27.42053986
 -8.537093163 -8.273798943 27.41463470
 -8.530510902 -8.265607834 27.40845680
 -8.523888588 -8.257558823 27.40200806
 -8.517230034 -8.249657631 27.39529419
 -8.510540962 -8.241909981 27.38831902
 -8.503825188 -8.234319687 27.38108826
 -8.497087479 -8.226891518 27.37360573
 -8.490332603 -8.219630241 27.36587715
 -8.483565331 -8.212540627 27.35790634
 -8.476789474 -8.205627441 27.34969902
 -8.470010757 -8.198894501 27.34126091
 -8.463232994 -8.192345619 27.33259773
 -8.456460953 -8.185985565 27.32371521
 -8.449699402 -8.179818153 27.31461906
 -8.442952156 -8.173847198 27.30531502
 -8.436224937 -8.168075562 27.29580879
 -8.429521561 -8.162507057 27.28610611
 -8.422845840 -8.157145500 27.27621460
 -8.416203499 -8.151993752 27.26613998
 -8.409598351 -8.147054672 27.25588799
 -8.403035164 -8.142331123 27.24546623
 -8.396517754 -8.137825966 27.23488045
 -8.390050888 -8.133542061 27.22413826
 -8.383638382 -8.129482269 27.21324539
 -8.377284050 -8.125648499 27.20220947
 -8.370993614 -8.122042656 27.19103813
 -8.364769936 -8.118666649 27.17973900
 -8.358617783 -8.115523338 27.16831779
 -8.352540016 -8.112613678 27.15678215
 -8.346541405 -8.109939575 27.14513969
 -8.340626717 -8.107502937 27.13339615
 -8.334798813 -8.105303764 27.12156105
 -8.329061508 -8.103344917 27.10964012
 -8.323418617 -8.101626396 27.09764290
 -8.317873955 -8.100149155 27.08557510
 -8.312430382 -8.098914146 27.07344437
 -8.307092667 -8.097921371 27.06125832
 -8.301863670 -8.097171783 27.04902458
 -8.296746254 -8.096666336 27.03675270
 -8.291744232 -8.096404076 27.02444839
 -8.286860466 -8.096385956 27.01211929
 -8.282098770 -8.096611023 26.99977303
 -8.277462006 -8.097079277 26.98741722
 -8.272952080 -8.097790718 26.97505951
 -8.268572807 -8.098744392 26.96270752
 -8.264327049 -8.099940300 26.95036888
 -8.260217667 -8.101376534 26.93805122
 -8.256246567 -8.103053093 26.92576218
 -8.252416611 -8.104968071 26.91350937
 -8.248730659 -8.107121468 26.90130043
 -8.245190620 -8.109510422 26.88914299
 -8.241798401 -8.112134933 26.87704277
 -8.238556862 -8.114992142 26.86500931
 -8.235467911 -8.118081093 26.85304832
 -8.232533455 -8.121399879 26.84116936
 -8.229755402 -8.124946594 26.82937813
 -8.227134705 -8.128719330 26.81768227
 -8.224674225 -8.132715225 26.80608749
 -8.222374916 -8.136932373 26.79460335
 -8.220238686 -8.141367912 26.78323555
 -8.218266487 -8.146019936 26.77198982
 -8.216460228 -8.150885582 26.76087570
 -8.214820862 -8.155961037 26.74989891
 -8.213349342 -8.161244392 26.73906517
 -8.212046623 -8.166732788 26.72838211
 -8.210913658 -8.172422409 26.71785736
 -8.209951401 -8.178310394 26.70749664
 -8.209160805 -8.184392929 26.69730568
 -8.208541870 -8.190667152 26.68729019
 -8.208094597 -8.197129250 26.67745781
 -8.207820892 -8.203775406 26.66781425
 -8.207719803 -8.210601807 26.65836716
 -8.207792282 -8.217604637 26.64912033
 -8.208037376 -8.224780083 26.64008141
 -8.208456039 -8.232123375 26.63125420
 -8.209047318 -8.239631653 26.62264442
 -8.209812164 -8.247299194 26.61425972
 -8.210749626 -8.255122185 26.60610390
 -8.211858749 -8.263096809 26.59818077
 -8.213139534 -8.271218300 26.59049797
 -8.214591980 -8.279480934 26.58305931
 -8.216214180 -8.287880898 26.57587051
 -8.218006134 -8.296413422 26.56893539
 -8.219965935 -8.305073738 26.56225967
 -8.222093582 -8.313856125 26.55584717
 -8.224388123 -8.322756767 26.54970169
 -8.226847649 -8.331768990 26.54382706
 -8.229470253 -8.340888977 26.53822899
 -8.232255936 -8.350111008 26.53290939
 -8.235202789 -8.359429359 26.52787399
 -8.238308907 -8.368839264 26.52312469
 -8.241572380 -8.378334999 26.51866722
 -8.244991302 -8.387910843 26.51450348
 -8.248564720 -8.397561073 26.51063538
 -8.252289772 -8.407279968 26.50706673
 -8.256164551 -8.417061806 26.50380135
 -8.260187149 -8.426900864 26.50084114
 -8.264354706 -8.436792374 26.49818802
 -8.268665314 -8.446728706 26.49584579
 -8.273117065 -8.456705093 26.49381447
 -8.277707100 -8.466715813 26.49209785
 -8.282432556 -8.476754189 26.49069595
 -8.287290573 -8.486814499 26.48961258
 -8.292278290 -8.496890068 26.48884773
 -8.297393799 -8.506975174 26.48840141
 -8.302633286 -8.517063141 26.48827553
 -8.307993889 -8.527148247 26.48847198
 -8.313472748 -8.537224770 26.48899078
 -8.319067001 -8.547286034 26.48983192
 -8.324772835 -8.557325363 26.49099731
 -8.330586433 -8.567337036 26.49248505
 -8.336504936 -8.577315331 26.49429512
 -8.342525482 -8.587252617 26.49642944
 -8.348643303 -8.597143173 26.49888420
 -8.354855537 -8.606981277 26.50166130
 -8.361158371 -8.616760254 26.50475883
 -8.367547989 -8.626473427 26.50817490
 -8.374021530 -8.636114120 26.51190948
 -8.380574226 -8.645677567 26.51596069
 -8.387202263 -8.655156136 26.52032661
 -8.393900871 -8.664544106 26.52500534
 -8.400667191 -8.673834801 26.52999496
 -8.407496452 -8.683022499 26.53529358
 -8.414384842 -8.692101479 26.54089737
 -8.421327591 -8.701065063 26.54680443
 -8.428320885 -8.709906578 26.55301285
 -8.435360909 -8.718621254 26.55951691
 -8.442441940 -8.727202415 26.56631470
 -8.449561119 -8.735644341 26.57340240
 -8.456712723 -8.743940353 26.58077812
 -8.463893890 -8.752085686 26.58843613
 -8.471098900 -8.760073662 26.59637260
 -8.478322983 -8.767899513 26.60458183
 -8.485562325 -8.775556564 26.61306000
 -8.492812157 -8.783040047 26.62180328
 -8.500067711 -8.790344238 26.63080597
 -8.507324219 -8.797464371 26.64006424
 -8.514577866 -8.804394722 26.64957047
 -8.521822929 -8.811129570 26.65932083
 -8.529055595 -8.817664146 26.66930962
 -8.536271095 -8.823993683 26.67952919
 -8.543463707 -8.830113411 26.68997574
 -8.550629616 -8.836018562 26.70064163
 -8.557764053 -8.841704369 26.71152115
 -8.564862251 -8.847166061 26.72260666
 -8.571919441 -8.852399826 26.73389244
 -8.578931808 -8.857400894 26.74537086
 -8.585893631 -8.862165451 26.75703621
 -8.592800140 -8.866689682 26.76888084
 -8.599647522 -8.870969772 26.78089523
 -8.606431007 -8.875001907 26.79307365
 -8.613144875 -8.878782272 26.80540848
 -8.619786263 -8.882308006 26.81789207
 -8.626349449 -8.885576248 26.83051491
 -8.632829666 -8.888583183 26.84326935
